Title,URL
,
Abu Salim Middle Eastern Grill,https://www.google.com/maps/place/Abu+Salim+Middle+Eastern+Grill/data=!4m2!3m1!1s0x808587a32408e4f1:0x567a187b9134b97
State Law Library,https://www.google.com/maps/place/State+Law+Library/data=!4m2!3m1!1s0x87ee99b65849cc2b:0x743f59815d847124
Juniper,https://www.google.com/maps/place/Juniper/data=!4m2!3m1!1s0x80858199d5b53a4d:0x5b702e89f958dd98
Tallboy,https://www.google.com/maps/place/Tallboy/data=!4m2!3m1!1s0x80857db38318da2f:0x3b78df843bf890cd
Newkirk's,https://www.google.com/maps/place/Newkirk's/data=!4m2!3m1!1s0x808f7e4a1e7dfb7b:0xf842e054207b5a5d
San Francisco Wine & Cheese,https://www.google.com/maps/place/San+Francisco+Wine+%26+Cheese/data=!4m2!3m1!1s0x8085809f40092839:0x212ffed7ba0181e6
Designer Consigner,https://www.google.com/maps/place/Designer+Consigner/data=!4m2!3m1!1s0x80858733be57bb67:0x9b6ef70ad73cabe
Goodbyes Men’s Store,https://www.google.com/maps/place/Goodbyes+Men%E2%80%99s+Store/data=!4m2!3m1!1s0x808587006356e2d1:0x287e701aa7379fa9
Goodbyes,https://www.google.com/maps/place/Goodbyes/data=!4m2!3m1!1s0x80858733a0f61ab3:0x5c57bb4bdb0a2743
13 Orphans,https://www.google.com/maps/place/13+Orphans/data=!4m2!3m1!1s0x808f81362354f6a7:0xf1e7a739d7279d8d
Restaurant Naides,https://www.google.com/maps/place/Restaurant+Naides/data=!4m2!3m1!1s0x808581eba52c22cf:0xd9052d3f9f48d450
Laney College,https://www.google.com/maps/place/Laney+College/data=!4m2!3m1!1s0x808f87ed6a6d104d:0x61ffcb19382dcc68
El Gallo Giro Food Truck,https://www.google.com/maps/place/El+Gallo+Giro+Food+Truck/data=!4m2!3m1!1s0x808f7f5a4697bb73:0x2c83707ac896f3ef
Kabuki Springs & Spa,https://www.google.com/maps/place/Kabuki+Springs+%26+Spa/data=!4m2!3m1!1s0x808580b90470551b:0xe906e0566decb32f
Fikscue Thrive City,https://www.google.com/maps/place/Fikscue+Thrive+City/data=!4m2!3m1!1s0x808f7f001783d491:0xf76f64bb6d040a3b
