Title,URL
,
National Crafts Museum,https://www.google.com/maps/place/National+Crafts+Museum/data=!4m2!3m1!1s0x5ff8339d12c824db:0x48adbd92fcae1e14
Kanazawa,https://www.google.com/maps/place/Kanazawa/data=!4m2!3m1!1s0x5ff83655468566c3:0x8df155c46fde6215
Artizon Museum,https://www.google.com/maps/place/Artizon+Museum/data=!4m2!3m1!1s0x60188be2b131303b:0xfb4496d5c465105b
Cochineal,https://www.google.com/maps/place/Cochineal/data=!4m2!3m1!1s0x80842fa4edb9846d:0xf56f20eaddb18048
Strøm spa nordique / Mont-Saint-Hilaire,https://www.google.com/maps/place/Str%C3%B8m+spa+nordique+%2F+Mont-Saint-Hilaire/data=!4m2!3m1!1s0x4cc9ab0c9b1e660b:0xd367830bc801f056
Strøm spa nordique / Montréal (Île-des-Sœurs),https://www.google.com/maps/place/Str%C3%B8m+spa+nordique+%2F+Montr%C3%A9al+(%C3%8Ele-des-S%C5%93urs)/data=!4m2!3m1!1s0x4cc9104028b2d009:0xb895db3c430e62c2
Strøm Nordic Spa,https://www.google.com/maps/place/Str%C3%B8m+Nordic+Spa/data=!4m2!3m1!1s0x4cb7b343f12cd473:0xc13b6462eea4a5c1
Pebble Beach,https://www.google.com/maps/place/Pebble+Beach/data=!4m2!3m1!1s0x80813580dfe7a275:0xa7b6e9b6380261e0
Shell Beach,https://www.google.com/maps/place/Shell+Beach/data=!4m2!3m1!1s0x80869e47f2b4da07:0xa8052acc82c297b6
Librería Porrúa,https://www.google.com/maps/place/Librer%C3%ADa+Porr%C3%BAa/data=!4m2!3m1!1s0x85d1ff56afa13d3b:0xcab52005771fd802
FRGMNT Coffee - Mill District,https://www.google.com/maps/place/FRGMNT+Coffee+-+Mill+District/data=!4m2!3m1!1s0x52b32df632e12031:0xad489d4308710c19
FRGMNT Coffee - North Loop,https://www.google.com/maps/place/FRGMNT+Coffee+-+North+Loop/data=!4m2!3m1!1s0x52b3332473219087:0x4df28dad2bab38b5
Hydrostone Market,https://www.google.com/maps/place/Hydrostone+Market/data=!4m2!3m1!1s0x4b5a216e2ae95593:0x59b8d12d334f51ae
Diljan Bakery,https://www.google.com/maps/place/Diljan+Bakery/data=!4m2!3m1!1s0x89c25b006800171d:0xeb223097bac5d971
Vato,https://www.google.com/maps/place/Vato/data=!4m2!3m1!1s0x89c25b968bde4691:0x769e64005389f6fe
Ad Astra Bread Co.,https://www.google.com/maps/place/Ad+Astra+Bread+Co./data=!4m2!3m1!1s0x808de55a8ab61bfb:0xd09b340abd48cd96
Parker-Lusseau Pastries,https://www.google.com/maps/place/Parker-Lusseau+Pastries/data=!4m2!3m1!1s0x808de4242568f8ff:0x1638971ff99b95bc
State Law Library,https://www.google.com/maps/place/State+Law+Library/data=!4m2!3m1!1s0x87ee99b65849cc2b:0x743f59815d847124
